S.no,File,Input Size,Time Taken
6,mpi_tiled_mXv.exe,512,0.001938
7,mpi_tiled_mXv.exe,512,0.001682
8,mpi_tiled_mXv.exe,512,0.001864
9,mpi_tiled_mXv.exe,512,0.001688
10,mpi_tiled_mXv.exe,512,0.001964
1,mpi_tiled_mXv.exe,1024,0.00627
2,mpi_tiled_mXv.exe,1024,0.006461
3,mpi_tiled_mXv.exe,1024,0.00621
4,mpi_tiled_mXv.exe,1024,0.006367
5,mpi_tiled_mXv.exe,1024,0.006203
6,mpi_tiled_mXv.exe,1024,0.006513
7,mpi_tiled_mXv.exe,1024,0.00752
8,mpi_tiled_mXv.exe,1024,0.00715
9,mpi_tiled_mXv.exe,1024,0.007892
10,mpi_tiled_mXv.exe,1024,0.007129
1,mpi_tiled_mXv.exe,2048,0.027024
2,mpi_tiled_mXv.exe,2048,0.027368
3,mpi_tiled_mXv.exe,2048,0.028039
4,mpi_tiled_mXv.exe,2048,0.027504
5,mpi_tiled_mXv.exe,2048,0.027105
6,mpi_tiled_mXv.exe,2048,0.026617
7,mpi_tiled_mXv.exe,2048,0.026945
8,mpi_tiled_mXv.exe,2048,0.038557
9,mpi_tiled_mXv.exe,2048,0.028721
10,mpi_tiled_mXv.exe,2048,0.027318
1,mpi_tiled_mXv.exe,4096,0.118723
2,mpi_tiled_mXv.exe,4096,0.11995
3,mpi_tiled_mXv.exe,4096,0.119834
4,mpi_tiled_mXv.exe,4096,0.122475
5,mpi_tiled_mXv.exe,4096,0.109793
6,mpi_tiled_mXv.exe,4096,0.109845
7,mpi_tiled_mXv.exe,4096,0.108494
8,mpi_tiled_mXv.exe,4096,0.109447
9,mpi_tiled_mXv.exe,4096,0.10996
10,mpi_tiled_mXv.exe,4096,0.114347
1,mpi_tiled_mXv.exe,8192,0.450609
2,mpi_tiled_mXv.exe,8192,0.442476
3,mpi_tiled_mXv.exe,8192,0.439676
4,mpi_tiled_mXv.exe,8192,0.441884
5,mpi_tiled_mXv.exe,8192,0.444578
6,mpi_tiled_mXv.exe,8192,0.443384
7,mpi_tiled_mXv.exe,8192,0.434501
8,mpi_tiled_mXv.exe,8192,0.445008
9,mpi_tiled_mXv.exe,8192,0.442813
10,mpi_tiled_mXv.exe,8192,0.433078
1,mpi_tiled_mXv.exe,16384,1.788929
2,mpi_tiled_mXv.exe,16384,1.794334
3,mpi_tiled_mXv.exe,16384,1.811627
4,mpi_tiled_mXv.exe,16384,1.816859
5,mpi_tiled_mXv.exe,16384,1.793298
6,mpi_tiled_mXv.exe,16384,1.832322
7,mpi_tiled_mXv.exe,16384,1.806492
8,mpi_tiled_mXv.exe,16384,1.80264
9,mpi_tiled_mXv.exe,16384,1.85223
10,mpi_tiled_mXv.exe,16384,1.815265
1,mpi_tiled_mXv.exe,32768,7.880686
2,mpi_tiled_mXv.exe,32768,8.131561
3,mpi_tiled_mXv.exe,32768,7.836653
4,mpi_tiled_mXv.exe,32768,7.630265
5,mpi_tiled_mXv.exe,32768,7.671959
6,mpi_tiled_mXv.exe,32768,7.727397
7,mpi_tiled_mXv.exe,32768,7.670435
8,mpi_tiled_mXv.exe,32768,7.622331
9,mpi_tiled_mXv.exe,32768,7.699904
10,mpi_tiled_mXv.exe,32768,7.674768
